亜|sub-,Asia|ア
酵|fermentation|コウ
稿|draft|コウ
衡|equilibrium|コウ
購|subscription|コウ
乞|beg|こ-う
拷|torture|ゴウ
剛|sturdy|ゴウ
傲|be proud|ゴウ
豪|overpowering|ゴウ
克|overcome|コク
酷|cruel|コク
獄|prison|ゴク
駒|horse|こま
込|crowded|こ-む,こ-める
頃|times|ころ
昆|descendants|コン
恨|rancor|コン,うら-む,うら-めしい
婚|marriage|コン
痕|mark|コン,あと
紺|dark blue|コン
魂|soul|コン,たましい
墾|ground-breaking|コン
懇|sociable|コン,ねんご-ろ
沙|sand|サ
唆|tempt|サ,そそのか-す
詐|lie|サ
鎖|chain|サ,くさり
挫|sprain|ザ
采|form|サイ
砕|smash|サイ,くだ-く,くだ-ける
宰|superintend|サイ
栽|plantation|サイ
彩|coloring|サイ,いろど-る
斎|purification|サイ
債|bond|サイ
催|sponsor|サイ,もよお-す
塞|obstruct|サイ,ソク,ふさ-ぐ,ふさ-がる
歳|year-end|サイ,（セイ）
載|ride|サイ,の-せる,の-る
剤|dose|ザイ
削|plane|サク,けず-る
柵|fence|サク
索|cord|サク
酢|vinegar|サク,す
搾|squeeze|サク,しぼ-る
錯|confused|サク
咲|blossom|さ-く
刹|temple|サツ,セツ
拶|be imminent|サツ
撮|snapshot|サツ,と-る
擦|grate|サツ,す-る,す-れる
桟|scaffold|サン
惨|wretched|サン,ザン,みじ-め
傘|umbrella|サン,かさ
斬|kill by slicing|ザン,き-る
暫|temporarily|ザン
旨|delicious|シ,むね
伺|pay respects|シ,うかが-う
刺|thorn|シ,さ-す,さ-さる
祉|welfare|シ
肢|limb|シ
施|carry out|シ,セ,ほどこ-す
恣|selfish|シ
脂|fat|シ,あぶら
紫|purple|シ,むらさき
嗣|heir|シ
雌|feminine|シ,め,めす
摯|seriousness|シ
賜|grant|シ,たまわ-る
諮|consult with|シ,はか-る
侍|waiter|ジ,さむらい
慈|mercy|ジ,いつく-しむ
餌 [8]|bait|ジ,えさ,え
璽|"emperors seal "|ジ
軸|axis|ジク
𠮟 [5]|scold|シツ,しか-る
疾|rapidly|シツ
執|tenacious|シツ,シュウ,と-る
湿|damp|シツ,しめ-る,しめ-す
嫉|envy|シツ
漆|lacquer|シツ,うるし
芝|turf|しば
赦|pardon|シャ
斜|diagonal|シャ,なな-め
煮|boil|シャ,に-る,に-える,に-やす
遮|intercept|シャ,さえぎ-る
邪|wicked|ジャ
蛇|snake|ジャ,ダ,へび
酌|bartending|シャク,く-む
釈|explanation|シャク
爵|baron|シャク
寂|loneliness|ジャク,（セキ）,さび,さび-しい,さび-れる
朱|vermilion|シュ
狩|hunt|シュ,か-る,か-り
殊|particularly|シュ,こと
珠|pearl|シュ
腫|tumor|シュ,は-れる,は-らす
趣|gist|シュ,おもむき
寿|longevity|ジュ,ことぶき
呪|curse|ジュ,のろ-う
需|demand|ジュ
儒|Confucian|ジュ
囚|captured|シュウ
舟|boat|シュウ,ふね,（ふな）
秀|excel|シュウ,ひい-でる
臭|stinking|シュウ,くさ-い,にお-う
袖|sleeve|シュウ,そで
羞|feel ashamed|シュウ
愁|distress|シュウ,うれ-える,うれ-い
酬|repay|シュウ
醜|ugly|シュウ,みにく-い
蹴|kick|シュウ,け-る
襲|attack|シュウ,おそ-う
汁|soup|ジュウ,しる
充|allot|ジュウ,あ-てる
柔|tender|ジュウ,ニュウ,やわ-らか,やわ-らかい
渋|astringent|ジュウ,しぶ,しぶ-い,しぶ-る
銃|gun|ジュウ
獣|animal|ジュウ,けもの
叔|uncle|シュク
淑|graceful|シュク
粛|solemn|シュク
塾|cram school|ジュク
俊|genius|シュン
瞬|wink|シュン,またた-く
旬|10-day period (of the month)|ジュン,（シュン）
巡|patrol|ジュン,めぐ-る
盾|shield|ジュン,たて
准|quasi-|ジュン
殉|martyrdom|ジュン
循|sequential|ジュン
潤|wet|ジュン,うるお-う,うるお-す,うる-む
遵|abide by|ジュン
庶|commoner|ショ
緒|thong|ショ,（チョ）,お
如|likeness|ジョ,ニョ
叙|confer|ジョ
徐|gradually|ジョ
升|measuring box|ショウ,ます
召|summon|ショウ,め-す
匠|artisan|ショウ
床|bed|ショウ,とこ,ゆか
抄|extract|ショウ
肖|resemblance|ショウ
尚|esteem|ショウ
昇|rise up|ショウ,のぼ-る
沼|marsh|ショウ,ぬま
宵|wee hours|ショウ,よい
症|symptoms|ショウ
祥|auspicious|ショウ
称|appellation|ショウ
渉|ford|ショウ
紹|introduce|ショウ
訟|sue|ショウ
掌|manipulate|ショウ
晶|sparkle|ショウ
焦|char|ショウ,こ-げる,こ-がす,こ-がれる,あせ-る
硝|nitrate|ショウ
粧|cosmetics|ショウ
詔|imperial edict|ショウ,みことのり
奨|exhort|ショウ
詳|detailed|ショウ,くわ-しい
彰|patent|ショウ
憧|desire|ショウ,あこが-れる
衝|collide|ショウ
償|reparation|ショウ,つぐな-う
礁|reef|ショウ
鐘|bell|ショウ,かね
丈|length|ジョウ,たけ
冗|superfluous|ジョウ
浄|clean|ジョウ
剰|surplus|ジョウ
畳|tatami mat|ジョウ,たた-む,たたみ
壌|lot|ジョウ
嬢|lass|ジョウ
錠|lock|ジョウ
譲|defer|ジョウ,ゆず-る
醸|brew|ジョウ,かも-す
拭|wipe|ショク,ふ-く,ぬぐ-う
殖|augment|ショク,ふ-える,ふ-やす
飾|decorate|ショク,かざ-る
触|contact|ショク,ふ-れる,さわ-る
嘱|entrust|ショク
辱|embarrass|ジョク,はずかし-める
尻|buttocks|しり
伸|lengthen|シン,の-びる,の-ばす,の-べる
芯|core|シン
辛|spicy|シン,から-い
侵|encroach|シン,おか-す
津|haven|シン,つ
唇|lips|シン,くちびる
娠|with child|シン
振|shake|シン,ふ-る,ふ-るう,ふ-れる
浸|immersed|シン,ひた-す,ひた-る
紳|sire|シン
診|checkup|シン,み-る
寝|lie down|シン,ね-る,ね-かす
慎|humility|シン,つつし-む
審|examine|シン
震|quake|シン,ふる-う,ふる-える
薪|fuel|シン,たきぎ
刃|blade|ジン,は
尽|exhaust|ジン,つ-くす,つ-きる,つ-かす
迅|swift|ジン
甚|tremendously|ジン,はなは-だ,はなは-だしい
陣|camp|ジン
尋|inquire|ジン,たず-ねる
腎|kidney|ジン
須|by all means|ス
吹|blow|スイ,ふ-く
炊|cook|スイ,た-く
帥|commander|スイ
粋|chic|スイ,いき
衰|decline|スイ,おとろ-える
酔|drunk|スイ,よ-う
遂|consummate|スイ,と-げる
睡|drowsy|スイ
穂|ear|スイ,ほ
