----------------------------------------------
KANJI GRADE 1 
----------------------------------------------
一|one|イチ,イツ,ひと,ひと-つ
登|climb|トウ,ト,のぼ-る
等|class|トウ,ひと-しい
動|move|ドウ,うご-く,うご-かす
童|juvenile|ドウ,わらべ
農|farming|ノウ
波|wave|ハ,なみ
配|distribute|ハイ,くば-る
倍|double|バイ
箱|box|はこ
畑|farm|はた,はたけ
発|departure|ハツ,ホツ
反|anti-|ハン,（ホン）,（タン）,そ-る,そ-らす
坂|slope|ハン,さか
板|board|ハン,バン,いた
皮|skin|ヒ,かわ
悲|sad|ヒ,かな-しい,かな-しむ
美|beauty|ビ,うつく-しい
鼻|nose|ビ,はな
筆|writing brush|ヒツ,ふで
氷|ice|ヒョウ,こおり,ひ
表|express|ヒョウ,おもて,あらわ-す,あらわ-れる
秒|second (part of time)|ビョウ
病|sick|ビョウ,（ヘイ）,や-む,やまい
品|article|ヒン,しな
負|lose|フ,ま-ける,ま-かす,お-う
部|part|ブ
服|clothes|フク
福|luck|フク
物|thing|ブツ,モツ,もの
平|flat|ヘイ,ビョウ,たい-ら,ひら
返|return|ヘン,かえ-す,かえ-る
勉|exertion|ベン
放|release|ホウ,はな-す,はな-つ,はな-れる,ほう-る
味|flavor|ミ,あじ,あじ-わう
命|fate|メイ,ミョウ,いのち
面|face|メン,おも,おもて,つら
問|question|モン,と-う,と-い,（とん）
役|service|ヤク,エキ
薬|medicine|ヤク,くすり
由|reason|ユ,ユウ,（ユイ）,よし
油|oil|ユ,あぶら
有|have|ユウ,ウ,あ-る
遊|play|ユウ,（ユ）,あそ-ぶ
予|in advance|ヨ
羊|sheep|ヨウ,ひつじ
洋|ocean|ヨウ
葉|leaf|ヨウ,は
陽|sunshine|ヨウ
様|formal title|ヨウ,さま
落|fall|ラク,お-ちる,お-とす
流|stream|リュウ,（ル）,なが-れる,なが-す
旅|trip|リョ,たび
両|both|リョウ
緑|green|リョク,（ロク）,みどり
礼|thanks|レイ,ライ
列|row|レツ
練|practice|レン,ね-る
路|road|ロ,じ
和|peace|ワ,（オ）,やわ-らぐ,やわ-らげる,なご-む,なご-やか
----------------------------------------------
KANJI GRADE 4
----------------------------------------------
愛|love|アイ
案|plan|アン
以|by means of|イ
衣|clothes|イ,ころも
位|rank|イ,くらい
茨 [5]|thorn|（いばら）[6
印|mark|イン,しるし
英|England|エイ
栄|prosperity|エイ,さか-える,は-え,は-える
媛|princess; beautiful woman|エン
塩|salt|エン,しお
岡|hill|（おか）[6
億|hundred million|オク
加|add|カ,くわ-える,くわ-わる
果|fruit|カ,は-たす,は-てる,は-て
貨|freight|カ
課|section|カ
芽|bud|ガ,め
賀|congratulations|ガ
改|reformation|カイ,あらた-める,あらた-まる
械|contraption|カイ
害|harm|ガイ
街|street|ガイ,（カイ）,まち
各|each|カク,おのおの
覚|memorize|カク,おぼ-える,さ-ます,さ-める
潟|lagoon|かた
完|perfect|カン
官|government official|カン
管|pipe|カン,くだ
関|related|カン,せき,かか-わる
観|observe|カン
願|request|ガン,ねが-う
岐|branch off|キ
希|hope|キ
季|seasons|キ
旗|national flag|キ,はた
器|container|キ,うつわ
機|machine|キ,はた
議|deliberation|ギ
求|request|キュウ,もと-める
泣|cry|キュウ,な-く
給|salary|キュウ
